Developer,Latitude,Longitude,Place Name,Address
Mojang,59.32071850000001,18.0515216,Mojang AB,"Söder Mälarstrand 43, 118 25 Stockholm, Schweden"
Mojang AB,59.32071850000001,18.0515216,Mojang AB,"Söder Mälarstrand 43, 118 25 Stockholm, Schweden"
TT Fusion,53.32515240000001,-2.23401,Tt Fusion,"Emerson Court, Alderley Rd, Wilmslow SK9 1NX, Vereinigtes Königreich"
Ubisoft,48.8592,2.4345,Ubisoft,"""Headquarters: Zentrale: Montreuil, Frankreich"""
Maxis,37.5331,-122.2657,Maxis,"""Headquarters: Zentrale: Redwood City, Kalifornien, USA"""
Square,50.9545904,6.957958,Square Root Thinking,"Neusser Pl. 8, 50670 Köln, Deutschland"
Capcom,34.6695,135.5019,Capcom,"""Headquarters: Zentrale: Osaka, Japan"""
Visual Concepts,38.1074,-122.5697,Visual Concepts,"""Headquarters: Zentrale: Novato, Kalifornien, USA"""
Konami,45.4695682,9.2145541,Konami Evo,"Via Castel Morrone, 7, 20129 Milano MI, Italien"
Sonic Team,35.6762,139.6503,Sonic Team,"""Headquarters: Zentrale: Tokio, Japan"""
Bethesda Softworks,39.1054059,-77.18036889999999,Bethesda Softworks LLC,"1370 Piccard Dr # 120, Rockville, MD 20850, Vereinigte Staaten"
Polyphony Digital,35.6751759,139.8143296,Polyphony Digital,"Japan, 〒135-0016 Tokyo, Koto City, Toyo, 6 Chome−3−1 イースト21ビジネスセンター 3F"
ArtePiazza,43.3325263,141.9109928,Arte Piazza,"Sakaemachi Ochiaicho, Bibai, Hokkaido 072-0831, Japan"
EA DICE,59.3293,18.0686,EA DICE,"""Headquarters: Zentrale: Stockholm, Schweden"""
Avalanche Software,40.7610118,-111.8863243,Avalanche Software,"175 E 400 S, Salt Lake City, UT 84111, Vereinigte Staaten"
Nintendo EAD,34.9697,135.7464,Nintendo EAD,"""Headquarters: Zentrale: Kyoto, Japan"""
Gearbox Software,33.1524196,-96.8370435,Gearbox Software,"5757 Main St, Frisco, TX 75034, Vereinigte Staaten"
Bungie,47.6152731,-122.1981516,"Bungie, Inc","550 106th Ave NE, Bellevue, WA 98004, Vereinigte Staaten"
Rockstar San Diego,32.7235108,-117.2276453,RockStar Yacht Charters San Diego,"Shelter Island, San Diego, CA 92106, Vereinigte Staaten"
SIE Santa Monica Studio,33.975129,-118.426169,Santa Monica Studio,"13031 W Jefferson Blvd #600, Los Angeles, CA 90094, Vereinigte Staaten"
PUBG Corporation,33.6156432,72.997384,PUBG Corporation,"JX8W+7W8, Mehar Abad Aliabad, Rawalpindi, Punjab 46000, Pakistan"
